Target_Key,Mode,Threshold,Recovered,Status
0x44,vGLO,455,0xff,
0x45,Baseline,455,0x45,
0x45,vID,455,0xff,
0x45,vGLO,455,0xff,
0x46,Baseline,455,0x46,
0x46,vID,455,0xff,
0x46,vGLO,455,0xff,
0x47,Baseline,455,0x47,
0x47,vID,455,0xff,
0x47,vGLO,455,0xff,
0x48,Baseline,455,0x48,
0x48,vID,455,0xff,
0x48,vGLO,455,0xff,
0x49,Baseline,455,0x49,
0x49,vID,455,0xff,
0x49,vGLO,455,0xff,
0x4a,Baseline,455,0x4a,
0x4a,vID,455,0xff,
0x4a,vGLO,455,0xff,
0x4b,Baseline,455,0x4b,
0x4b,vID,455,0xff,
0x4b,vGLO,455,0xff,
0x4c,Baseline,455,0x4c,
0x4c,vID,455,0xff,
0x4c,vGLO,455,0xff,
0x4d,Baseline,455,0x4d,
0x4d,vID,455,0xff,
0x4d,vGLO,455,0xff,
0x4e,Baseline,455,0x4e,
0x4e,vID,455,0xff,
0x4e,vGLO,455,0xff,
0x4f,Baseline,455,0x4f,
0x4f,vID,455,0xff,
0x4f,vGLO,455,0xff,
0x50,Baseline,455,0x50,
0x50,vID,455,0xff,
0x50,vGLO,455,0xff,
0x51,Baseline,455,0x51,
0x51,vID,455,0xff,
0x51,vGLO,455,0xff,
0x52,Baseline,455,0x52,
0x52,vID,455,0xff,
0x52,vGLO,455,0xff,
0x53,Baseline,455,0x53,
0x53,vID,455,0xff,
0x53,vGLO,455,0xff,
0x54,Baseline,455,0x54,
0x54,vID,455,0xff,
0x54,vGLO,455,0xff,
0x55,Baseline,455,0x55,
0x55,vID,455,0xff,
0x55,vGLO,455,0xff,
0x56,Baseline,455,0x56,
0x56,vID,455,0xff,
0x56,vGLO,455,0xff,
0x57,Baseline,455,0x57,
0x57,vID,455,0xff,
0x57,vGLO,455,0xff,
0x58,Baseline,455,0x58,
0x58,vID,455,0xff,
0x58,vGLO,455,0xff,
0x59,Baseline,455,0x59,
0x59,vID,455,0xff,
0x59,vGLO,455,0xff,
0x5a,Baseline,455,0x5a,
0x5a,vID,455,0xff,
0x5a,vGLO,455,0xff,
0x5b,Baseline,455,0x5b,
0x5b,vID,455,0xff,
0x5b,vGLO,455,0xff,
0x5c,Baseline,455,0x5c,
0x5c,vID,455,0xff,
0x5c,vGLO,455,0xff,
0x5d,Baseline,455,0x5d,
0x5d,vID,455,0xff,
0x5d,vGLO,455,0xff,
0x5e,Baseline,455,0x5e,
0x5e,vID,455,0xff,
0x5e,vGLO,455,0xff,
0x5f,Baseline,455,0x5f,
0x5f,vID,455,0xff,
0x5f,vGLO,455,0xff,
0x60,Baseline,455,0x60,
0x60,vID,455,0xff,
0x60,vGLO,455,0xff,
0x61,Baseline,455,0x61,
0x61,vID,455,0xff,
0x61,vGLO,455,0xff,
0x62,Baseline,455,0x62,
0x62,vID,455,0xff,
0x62,vGLO,455,0xff,
0x63,Baseline,455,0x63,
0x63,vID,455,0xff,
0x63,vGLO,455,0xff,
0x64,Baseline,455,0x64,
0x64,vID,455,0xff,
0x64,vGLO,455,0xff,
0x65,Baseline,455,0x65,
0x65,vID,455,0xff,
0x65,vGLO,455,0xff,
0x66,Baseline,455,0x66,
0x66,vID,455,0xff,
0x66,vGLO,455,0xff,
0x67,Baseline,455,0x67,
0x67,vID,455,0xff,
0x67,vGLO,455,0xff,
0x68,Baseline,455,0x68,
0x68,vID,455,0xff,
0x68,vGLO,455,0xff,
0x69,Baseline,455,0x69,
0x69,vID,455,0xff,
0x69,vGLO,455,0xff,
0x6a,Baseline,455,0x6a,
0x6a,vID,455,0xff,
0x6a,vGLO,455,0xff,
0x6b,Baseline,455,0x6b,
0x6b,vID,455,0xff,
0x6b,vGLO,455,0xff,
0x6c,Baseline,455,0x6c,
0x6c,vID,455,0xff,
0x6c,vGLO,455,0xff,
0x6d,Baseline,455,0x6d,
0x6d,vID,455,0xff,
0x6d,vGLO,455,0xff,
0x6e,Baseline,455,0x6e,
0x6e,vID,455,0xff,
0x6e,vGLO,455,0xff,
0x6f,Baseline,455,0x6f,
0x6f,vID,455,0xff,
0x6f,vGLO,455,0xff,
0x70,Baseline,455,0x70,
0x70,vID,455,0xff,
0x70,vGLO,455,0xff,
0x71,Baseline,455,0x71,
0x71,vID,455,0xff,
0x71,vGLO,455,0xff,
0x72,Baseline,455,0x72,
0x72,vID,455,0xff,
0x72,vGLO,455,0xff,
0x73,Baseline,455,0x73,
0x73,vID,455,0xff,
0x73,vGLO,455,0xff,
0x74,Baseline,455,0x74,
0x74,vID,455,0xff,
0x74,vGLO,455,0xff,
0x75,Baseline,455,0x75,
0x75,vID,455,0xff,
0x75,vGLO,455,0xff,
0x76,Baseline,455,0x76,
0x76,vID,455,0xff,
0x76,vGLO,455,0xff,
0x77,Baseline,455,0x77,
0x77,vID,455,0xff,
0x77,vGLO,455,0xff,
0x78,Baseline,455,0x78,
0x78,vID,455,0xff,
0x78,vGLO,455,0xff,
0x79,Baseline,455,0x79,
0x79,vID,455,0xff,
0x79,vGLO,455,0xff,
0x7a,Baseline,455,0x7a,
0x7a,vID,455,0xff,
0x7a,vGLO,455,0xff,
0x7b,Baseline,455,0x7b,
0x7b,vID,455,0xff,
0x7b,vGLO,455,0xff,
0x7c,Baseline,455,0x7c,
0x7c,vID,455,0xff,
0x7c,vGLO,455,0xff,
0x7d,Baseline,455,0x7d,
0x7d,vID,455,0xff,
0x7d,vGLO,455,0xff,
0x7e,Baseline,455,0x7e,
0x7e,vID,455,0xff,
0x7e,vGLO,455,0xff,
0x7f,Baseline,455,0x7f,
0x7f,vID,455,0xff,
0x7f,vGLO,455,0xff,
0x80,Baseline,455,0x80,
0x80,vID,455,0xff,
0x80,vGLO,455,0xff,
0x81,Baseline,455,0x81,
0x81,vID,455,0xff,
0x81,vGLO,455,0xff,
0x82,Baseline,455,0x82,
0x82,vID,455,0xff,
0x82,vGLO,455,0xff,
0x83,Baseline,455,0x83,
0x83,vID,455,0xff,
0x83,vGLO,455,0xff,
0x84,Baseline,455,0x84,
0x84,vID,455,0xff,
0x84,vGLO,455,0xff,
0x85,Baseline,455,0x85,
0x85,vID,455,0xff,
0x85,vGLO,455,0xff,
0x86,Baseline,455,0x86,
0x86,vID,455,0xff,
0x86,vGLO,455,0xff,
0x87,Baseline,455,0x87,
0x87,vID,455,0xff,
0x87,vGLO,455,0xff,
0x88,Baseline,455,0x88,
0x88,vID,455,0xff,
0x88,vGLO,455,0xff,
0x89,Baseline,455,0x89,
0x89,vID,455,0xff,
0x89,vGLO,455,0xff,
0x8a,Baseline,455,0x8a,
0x8a,vID,455,0xff,
0x8a,vGLO,455,0xff,
0x8b,Baseline,455,0x8b,
0x8b,vID,455,0xff,
0x8b,vGLO,455,0xff,
0x8c,Baseline,455,0x8c,
0x8c,vID,455,0xff,
0x8c,vGLO,455,0xff,
0x8d,Baseline,455,0x8d,
0x8d,vID,455,0xff,
0x8d,vGLO,455,0xff,
0x8e,Baseline,455,0x8e,
0x8e,vID,455,0xff,
0x8e,vGLO,455,0xff,
0x8f,Baseline,455,0x8f,
0x8f,vID,455,0xff,
0x8f,vGLO,455,0xff,
0x90,Baseline,455,0x90,
0x90,vID,455,0xff,
0x90,vGLO,455,0xff,
0x91,Baseline,455,0x91,
0x91,vID,455,0xff,
0x91,vGLO,455,0xff,
0x92,Baseline,455,0x92,
0x92,vID,455,0xff,
0x92,vGLO,455,0xff,
0x93,Baseline,455,0x93,
0x93,vID,455,0xff,
0x93,vGLO,455,0xff,
0x94,Baseline,455,0x94,
0x94,vID,455,0xff,
0x94,vGLO,455,0xff,
0x95,Baseline,455,0x95,
0x95,vID,455,0xff,
0x95,vGLO,455,0xff,
0x96,Baseline,455,0x96,
0x96,vID,455,0xff,
0x96,vGLO,455,0xff,
0x97,Baseline,455,0x97,
0x97,vID,455,0xff,
0x97,vGLO,455,0xff,
0x98,Baseline,455,0x98,
0x98,vID,455,0xff,
0x98,vGLO,455,0xff,
0x99,Baseline,455,0x99,
0x99,vID,455,0xff,
0x99,vGLO,455,0xff,
0x9a,Baseline,455,0x9a,
0x9a,vID,455,0xff,
0x9a,vGLO,455,0xff,
0x9b,Baseline,455,0x9b,
0x9b,vID,455,0xff,
0x9b,vGLO,455,0xff,
0x9c,Baseline,455,0x9c,
0x9c,vID,455,0xff,
0x9c,vGLO,455,0xff,
0x9d,Baseline,455,0x9d,
0x9d,vID,455,0xff,
0x9d,vGLO,455,0xff,
0x9e,Baseline,455,0x9e,
0x9e,vID,455,0xff,
0x9e,vGLO,455,0xff,
0x9f,Baseline,455,0x9f,
0x9f,vID,455,0xff,
0x9f,vGLO,455,0xff,
0xa0,Baseline,455,0xa0,
0xa0,vID,455,0xff,
0xa0,vGLO,455,0xff,
0xa1,Baseline,455,0xa1,
0xa1,vID,455,0xff,
0xa1,vGLO,455,0xff,
0xa2,Baseline,455,0xa2,
0xa2,vID,455,0xff,
0xa2,vGLO,455,0xff,
0xa3,Baseline,455,0xa3,
0xa3,vID,455,0xff,
0xa3,vGLO,455,0xff,
0xa4,Baseline,455,0xa4,
0xa4,vID,455,0xff,
0xa4,vGLO,455,0xff,
0xa5,Baseline,455,0xa5,
0xa5,vID,455,0xff,
0xa5,vGLO,455,0xff,
0xa6,Baseline,455,0xa6,
0xa6,vID,455,0xff,
0xa6,vGLO,455,0xff,
0xa7,Baseline,455,0xa7,
0xa7,vID,455,0xff,
0xa7,vGLO,455,0xff,
0xa8,Baseline,455,0xa8,
0xa8,vID,455,0xff,
0xa8,vGLO,455,0xff,
0xa9,Baseline,455,0xa9,
0xa9,vID,455,0xff,
0xa9,vGLO,455,0xff,
0xaa,Baseline,455,0xaa,
0xaa,vID,455,0xff,
0xaa,vGLO,455,0xff,
0xab,Baseline,455,0xab,
0xab,vID,455,0xff,
0xab,vGLO,455,0xff,
0xac,Baseline,455,0xac,
0xac,vID,455,0xff,
0xac,vGLO,455,0xff,
0xad,Baseline,455,0xad,
0xad,vID,455,0xff,
0xad,vGLO,455,0xff,
0xae,Baseline,455,0xae,
0xae,vID,455,0xff,
0xae,vGLO,455,0xff,
0xaf,Baseline,455,0xaf,
0xaf,vID,455,0xff,
0xaf,vGLO,455,0xff,
0xb0,Baseline,455,0xb0,
0xb0,vID,455,0xff,
0xb0,vGLO,455,0xff,
0xb1,Baseline,455,0xb1,
0xb1,vID,455,0xff,
0xb1,vGLO,455,0xff,
0xb2,Baseline,455,0xb2,
0xb2,vID,455,0xff,
0xb2,vGLO,455,0xff,
0xb3,Baseline,455,0xb3,
0xb3,vID,455,0xff,
0xb3,vGLO,455,0xff,
0xb4,Baseline,455,0xb4,
0xb4,vID,455,0xff,
0xb4,vGLO,455,0xff,
0xb5,Baseline,455,0xb5,
0xb5,vID,455,0xff,
0xb5,vGLO,455,0xff,
0xb6,Baseline,455,0xb6,
0xb6,vID,455,0xff,
0xb6,vGLO,455,0xff,
0xb7,Baseline,455,0xb7,
0xb7,vID,455,0xff,
0xb7,vGLO,455,0xff,
0xb8,Baseline,455,0xb8,
0xb8,vID,455,0xff,
0xb8,vGLO,455,0xff,
0xb9,Baseline,455,0xb9,
0xb9,vID,455,0xff,
0xb9,vGLO,455,0xff,
0xba,Baseline,455,0xba,
0xba,vID,455,0xff,
0xba,vGLO,455,0xff,
0xbb,Baseline,455,0xbb,
0xbb,vID,455,0xff,
0xbb,vGLO,455,0xff,
0xbc,Baseline,455,0xbc,
0xbc,vID,455,0xff,
0xbc,vGLO,455,0xff,
0xbd,Baseline,455,0xbd,
0xbd,vID,455,0xff,
0xbd,vGLO,455,0xff,
0xbe,Baseline,455,0xbe,
0xbe,vID,455,0xff,
0xbe,vGLO,455,0xff,
0xbf,Baseline,455,0xbf,
0xbf,vID,455,0xff,
0xbf,vGLO,455,0xff,
0xc0,Baseline,455,0xc0,
0xc0,vID,455,0xff,
0xc0,vGLO,455,0xff,
0xc1,Baseline,455,0xc1,
0xc1,vID,455,0xff,
0xc1,vGLO,455,0xff,
0xc2,Baseline,455,0xc2,
0xc2,vID,455,0xff,
0xc2,vGLO,455,0xff,
0xc3,Baseline,455,0xc3,
0xc3,vID,455,0xff,
0xc3,vGLO,455,0xff,
0xc4,Baseline,455,0xc4,
0xc4,vID,455,0xff,
0xc4,vGLO,455,0xff,
0xc5,Baseline,455,0xc5,
0xc5,vID,455,0xff,
0xc5,vGLO,455,0xff,
0xc6,Baseline,455,0xc6,
0xc6,vID,455,0xff,
0xc6,vGLO,455,0xff,
0xc7,Baseline,455,0xc7,
0xc7,vID,455,0xff,
0xc7,vGLO,455,0xff,
0xc8,Baseline,455,0xc8,
0xc8,vID,455,0xff,
0xc8,vGLO,455,0xff,
0xc9,Baseline,455,0xc9,
0xc9,vID,455,0xff,
0xc9,vGLO,455,0xff,
0xca,Baseline,455,0xca,
0xca,vID,455,0xff,
0xca,vGLO,455,0xff,
0xcb,Baseline,455,0xcb,
0xcb,vID,455,0xff,
0xcb,vGLO,455,0xff,
0xcc,Baseline,455,0xcc,
0xcc,vID,455,0xff,
0xcc,vGLO,455,0xff,
0xcd,Baseline,455,0xcd,
0xcd,vID,455,0xff,
0xcd,vGLO,455,0xff,
0xce,Baseline,455,0xce,
0xce,vID,455,0xff,
0xce,vGLO,455,0xff,
0xcf,Baseline,455,0xcf,
0xcf,vID,455,0xff,
0xcf,vGLO,455,0xff,
0xd0,Baseline,455,0xd0,
0xd0,vID,455,0xff,
0xd0,vGLO,455,0xff,
0xd1,Baseline,455,0xd1,
0xd1,vID,455,0xff,
0xd1,vGLO,455,0xff,
0xd2,Baseline,455,0xd2,
0xd2,vID,455,0xff,
0xd2,vGLO,455,0xff,
0xd3,Baseline,455,0xd3,
0xd3,vID,455,0xff,
0xd3,vGLO,455,0xff,
0xd4,Baseline,455,0xd4,
0xd4,vID,455,0xff,
0xd4,vGLO,455,0xff,
0xd5,Baseline,455,0xd5,
0xd5,vID,455,0xff,
0xd5,vGLO,455,0xff,
0xd6,Baseline,455,0xd6,
0xd6,vID,455,0xff,
0xd6,vGLO,455,0xff,
0xd7,Baseline,455,0xd7,
0xd7,vID,455,0xff,
0xd7,vGLO,455,0xff,
0xd8,Baseline,455,0xd8,
0xd8,vID,455,0xff,
0xd8,vGLO,455,0xff,
0xd9,Baseline,455,0xd9,
0xd9,vID,455,0xff,
0xd9,vGLO,455,0xff,
0xda,Baseline,455,0xda,
0xda,vID,455,0xff,
0xda,vGLO,455,0xff,
0xdb,Baseline,455,0xdb,
0xdb,vID,455,0xff,
0xdb,vGLO,455,0xff,
0xdc,Baseline,455,0xdc,
0xdc,vID,455,0xff,
0xdc,vGLO,455,0xff,
0xdd,Baseline,455,0xdd,
0xdd,vID,455,0xff,
0xdd,vGLO,455,0xff,
0xde,Baseline,455,0xde,
0xde,vID,455,0xff,
0xde,vGLO,455,0xff,
0xdf,Baseline,455,0xdf,
0xdf,vID,455,0xff,
0xdf,vGLO,455,0xff,
0xe0,Baseline,455,0xe0,
0xe0,vID,455,0xff,
0xe0,vGLO,455,0xff,
0xe1,Baseline,455,0xe1,
0xe1,vID,455,0xff,
0xe1,vGLO,455,0xff,
0xe2,Baseline,455,0xe2,
0xe2,vID,455,0xff,
0xe2,vGLO,455,0xff,
0xe3,Baseline,455,0xe3,
0xe3,vID,455,0xff,
0xe3,vGLO,455,0xff,
0xe4,Baseline,455,0xe4,
0xe4,vID,455,0xff,
0xe4,vGLO,455,0xff,
0xe5,Baseline,455,0xe5,
0xe5,vID,455,0xff,
0xe5,vGLO,455,0xff,
0xe6,Baseline,455,0xe6,
0xe6,vID,455,0xff,
0xe6,vGLO,455,0xff,
0xe7,Baseline,455,0xe7,
0xe7,vID,455,0xff,
0xe7,vGLO,455,0xff,
0xe8,Baseline,455,0xe8,
0xe8,vID,455,0xff,
0xe8,vGLO,455,0xff,
0xe9,Baseline,455,0xe9,
0xe9,vID,455,0xff,
0xe9,vGLO,455,0xff,
0xea,Baseline,455,0xea,
0xea,vID,455,0xff,
0xea,vGLO,455,0xff,
0xeb,Baseline,455,0xeb,
0xeb,vID,455,0xff,
0xeb,vGLO,455,0xff,
0xec,Baseline,455,0xec,
0xec,vID,455,0xff,
0xec,vGLO,455,0xff,
0xed,Baseline,455,0xed,
0xed,vID,455,0xff,
0xed,vGLO,455,0xff,
0xee,Baseline,455,0xee,
0xee,vID,455,0xff,
0xee,vGLO,455,0xff,
0xef,Baseline,455,0xef,
0xef,vID,455,0xff,
0xef,vGLO,455,0xff,
0xf0,Baseline,455,0xf0,
0xf0,vID,455,0xff,
0xf0,vGLO,455,0xff,
0xf1,Baseline,455,0xf1,
0xf1,vID,455,0xff,
0xf1,vGLO,455,0xff,
0xf2,Baseline,455,0xf2,
0xf2,vID,455,0xff,
0xf2,vGLO,455,0xff,
0xf3,Baseline,455,0xf3,
0xf3,vID,455,0xff,
0xf3,vGLO,455,0xff,
0xf4,Baseline,455,0xf4,
0xf4,vID,455,0xff,
0xf4,vGLO,455,0xff,
0xf5,Baseline,455,0xf5,
0xf5,vID,455,0xff,
0xf5,vGLO,455,0xff,
0xf6,Baseline,455,0xf6,
0xf6,vID,455,0xff,
0xf6,vGLO,455,0xff,
0xf7,Baseline,455,0xf7,
0xf7,vID,455,0xff,
0xf7,vGLO,455,0xff,
0xf8,Baseline,455,0xf8,
0xf8,vID,455,0xff,
0xf8,vGLO,455,0xff,
0xf9,Baseline,455,0xf9,
0xf9,vID,455,0xff,
0xf9,vGLO,455,0xff,
0xfa,Baseline,455,0xfa,
0xfa,vID,455,0xff,
0xfa,vGLO,455,0xff,
0xfb,Baseline,455,0xfb,
0xfb,vID,455,0xff,
0xfb,vGLO,455,0xff,
0xfc,Baseline,455,0xfc,
0xfc,vID,455,0xff,
0xfc,vGLO,455,0xff,
0xfd,Baseline,455,0xfd,
0xfd,vID,455,0xff,
0xfd,vGLO,455,0xff,
0xfe,Baseline,455,0xfe,
0xfe,vID,455,0xff,
0xfe,vGLO,455,0xff,
0xff,Baseline,455,0xff,
0xff,vID,455,0xff,
0xff,vGLO,455,0xff,
